"ISO3 Code","País","Región","Subregión ","Subregión detallada","Grupo de Ingresos del Banco Mundial ","¿Es miembro de la OIT? ","¿Incluido en las estimaciones de la OIT? "
"SYR","Rep?blica Arabe Siria","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso bajo","Si","Si"
"TWN","Taiwan, China","Asia y el Pac?fico","Asia Oriental","Asia Oriental","Ingreso alto","No","Si"
"TJK","Tayikist?n","Europa y Asia Central","Asia Central y Occidental","Asia Central","Ingreso mediano bajo","Si","Si"
"TZA","Tanzan?a, Rep?blica Unida de","?frica","?frica subsahariana","?frica Oriental","Ingreso mediano bajo","Si","Si"
"THA","Tailandia","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso mediano alto","Si","Si"
"TLS","Timor-Leste","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso mediano bajo","No","Si"
"TGO","Togo","?frica","?frica subsahariana","?frica Occidental","Ingreso bajo","Si","Si"
"TKL","Tokelau","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano bajo","No","No"
"TON","Tonga","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano alto","No","Si (*)"
"TTO","Trinidad y Tabago","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","Si","Si"
"TUN","T?nez","?frica","Norte de ?frica","Norte de ?frica","Ingreso mediano bajo","Si","Si"
"TUR","Turqu?a","Europa y Asia Central","Asia Central y Occidental","Asia occidental","Ingreso mediano alto","Si","Si"
"TKM","Turkmenist?n","Europa y Asia Central","Asia Central y Occidental","Asia Central","Ingreso mediano alto","Si","Si"
"TCA","Islas Turcos y Caicos","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"TUV","Tuvalu","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano alto","No","No"
"UGA","Uganda","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"UKR","Ucrania","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso mediano bajo","Si","Si"
"ARE","Emiratos Arabes Unidos","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso alto","Si","Si"
"GBR","Reino Unido","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"USA","Estados Unidos","Am?ricas","Am?rica del Norte","Am?rica del Norte","Ingreso alto","Si","Si (*)"
"VIR","Islas V?rgenes Americanas","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","Si (*)"
"URY","Uruguay","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso alto","Si","Si"
"UZB","Uzbekist?n","Europa y Asia Central","Asia Central y Occidental","Asia Central","Ingreso mediano bajo","Si","Si"
"VUT","Vanuatu","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano bajo","No","Si (*)"
"VEN","Venezuela, Rep?blica Bolivariana de","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
